Unnamed: 0,PrjDesc,LLM,Human,SynHuman,SynLLM,SemHuman,SemLLM,PragHuman,PragLLM,synClaudeLLM,synClaudeHuman,semClaudeLLM,semClaudeHuman,pragClaudeLLM,pragClaudeHuman,synGPTLLM,synGPTHuman,semGPTLLM,semGPTHuman,pragGPTLLM,pragGPTHuman,synDeepSeekLLM,synDeepSeekHuman,semDeepSeekLLM,semDeepSeekHuman,pragDeepSeekLLM,pragDeepSeekHuman,SemLLMNM,SemHumanNM,PragLLMNM,PragHumanNM,synGenDeepSeekLLM,synGenDeepSeekHuman,synGenClaudeLLM,synGenClaudeHuman,synGenGPTLLM,synGenGPTHuman
1,"Project Management System
A project manager uses the project management system to manage a project. The project manager leads a team to execute the project within the project's start and end dates. Once a project is created in the project management system, a manager may initiate and later terminate the project due to its completion or for some other reason. As input, a project uses requirements. As output, a project produces a system (or part of a system). The requirements and system are work products: things that are created, used, updated, and elaborated on throughout a project. Every work product has a description, is of some percent complete throughout the effort, and may be validated. However, validation is dependent on the type of work product. For example, the requirements are validated with users in workshops, and the system is validated by being tested against the requirements. Furthermore, requirements may be published using various types of media, including on an intranet or in paper form; and systems may be deployed onto specific platforms.","@startuml
class ProjectManager {
  +name: String
  +startDate: Date
  +endDate: Date
  +leadTeam()
  +initiateProject()
  +terminateProject()
}

class Project {
  +projectID: int
  +status: String
  +createProject()
  +executeProject()
  +completeProject()
}

class System {
  +systemID: int
  +validationStatus: String
  +publishRequirements(mediaType: String)
  +deploy(platform: String)
}

class Requirement {
  +requirementID: int
  +description: String
  +percentComplete: float
  +validateWorkProduct()
}

class WorkProduct {
  +updateDescription()
  +elaborate()
}

class Validation {
  +validateWithUsers()
  +testSystem()
}

ProjectManager ""1"" -- ""1"" Project : leads >
Project ""1"" -- ""*"" System : produces >
Project ""1"" -- ""*"" Requirement : produces >
Requirement <|-- WorkProduct
System <|-- WorkProduct
WorkProduct ""1"" -- ""1..*"" Validation : validated by >
@enduml

","PlantUML: @startuml

class ""Project Manager"" {
  - name : String
  + initiateProject()
  + terminateProject()
}

class Team {
  - description : String
}

class Project {
  - name : String
  - startDate : Date
  - endDate : Date
}

class Requirement {
  + publish(media : String)
}

PlantUML:1:1class WorkProduct {
  - percentComplete : int
  - description : String
  + validate()
}

class System {
  + deploy(platform : String)
}

' Associations with roles and multiplicities
""Project Manager"" ""1"" --> ""1"" Team : Lead
""Project Manager"" ""1"" --> ""1"" Project : Manage
Team ""1"" --> ""1"" Project : Execute
Requirement ""1..*"" --> ""1"" Project : Input
Project ""1"" --> ""1"" System : Output

' Generalizations
Requirement --|> WorkProduct
System --|> WorkProduct

@enduml",0,0,2,9,2,1,1,1,5,3,3,1,0,2,3,2,3,0,3,3,4,3,4,2,9,2,2,2,3,3,1,3,0,2
2,"Hollywood Approach
We are interested in building a software application to manage filmed scenes for realizing a movie, by following the so-called “Hollywood Approach”. Every scene is identified by a code (a string) and it is described by a text in natural language. Every scene is filmed from different positions (at least one), each of this is called a setup. Every setup is characterized by a code (a string) and a text in natural language where the photographic parameters are noted (e.g., aperture, exposure, focal length, filters, etc.). Note that a setup is related to a single scene. For every setup, several takes may be filmed (at least one). Every take is characterized by a (positive) natural number, a real number representing the number of meters of film that have been used for shooting the take, and the code (a string) of the reel where the film is stored. Note that a take is associated to a single setup. Scenes are divided into internals that are filmed in a theater, and externals that are filmed in a location and can either be “day scene” or “night scene”. Locations are characterized by a code (a string) and the address of the location, and a text describing them in natural language.","@startuml

class Scene {
  code: String
  description: String
}

class Setup {
  code: String
  description: String
  photographicParameters: String
}

class Take {
  number: int
  filmLength: float
  filmCode: String
}

class Internal extends Scene {
  // Inherits code and description from Scene
}

class External extends Scene {
  // Inherits code and description from Scene
  timeOfDay: String
}

class Location {
  code: String
  address: String
  description: String
}

Scene ""1"" -- ""1..*"" Setup : has >
Setup ""1"" -- ""1..*"" Take : has >
Scene ""0..1"" -- ""1"" Internal : type >
Scene ""0..1"" -- ""1"" External : type >
Location ""1"" -- ""1..*"" External : has >

@enduml



","PlantUML: @startuml

class Scene {
  - code : String
  - description : String
  + filmed()
}

class Internals {
  - teather : String
}

class Externals {
  - night_scene : Boolean
}

class Location {
  - name : String
  - address : String
  - description : String
}

class Setup {
  - code : String
  - photographic_parameters : String
}

class Takes {
  - natural_number : int
  - filmed_meters : Real
  - reel : String
}

' Generalizations
Internals --|> Scene
Externals --|> Scene

' Associations with roles and multiplicities
Externals ""0..*"" --> ""1"" Location : located
Scene ""1"" --> ""1..*"" Setup : setup_for_scene
Setup ""1"" --> ""1..*"" Takes : takes_of_setup

@enduml",3,2,0,3,0,0,0,1,3,3,2,2,0,0,2,3,2,3,3,2,4,3,1,3,4,1,1,1,3,3,0,3,0,2
3,"Word Processor
A user can open a new or existing document. Text is entered through a keyboard. A document is made up of several pages and each page is made up of a header, body and footer. Date, time and page number may be added to header or footer. Document body is made up of sentences, which are themselves made up of words and punctuation characters. Words are made up of letters, digits and/or special characters. Pictures and tables may be inserted into the document body. Tables are made up of rows and columns and every cell in a table can contain both text and pictures. Users can save or print documents.","@startuml

class User {
  openDocument()
  saveDocument()
  printDocument()
}

class Document {
  +pages: List<Page>
}

class Page {
  +header: Header
  +body: Body
  +footer: Footer
}

class Header {
  +date: String
  +time: String
  +pageNumber: int
}

class Footer {
  +date: String
  +time: String
  +pageNumber: int
}

class Body {
  +content: List<ContentItem>
}

class Sentence {
  +words: List<Word>
}

class Word {
  +letters: String
  +digits: String
  +specialCharacters: String
}

class ContentItem {
}

class Picture {
}

class Table {
  +rows: List<Row>
}

class Row {
  +cells: List<Cell>
}

class Cell {
  +text: String
  +picture: Picture
}

Sentence <|-- ContentItem
Picture <|-- ContentItem
Table <|-- ContentItem

User ""1"" -- ""*"" Document : uses >
Document ""1"" -- ""*"" Page : contains >
Page ""1"" -- ""1"" Header : has >
Page ""1"" -- ""1"" Body : has >
Page ""1"" -- ""1"" Footer : has >
Body ""1"" -- ""*"" ContentItem : contains >
Table ""1"" -- ""*"" Row : has >
Row ""1"" -- ""*"" Cell : has >

@enduml
","PlantUML: @startuml

' Classes
class Header {
  - date : Date
  - time : Time
  - pageNumber : int
}

class Footer {
  - date : Date
  - time : Time
  - pageNumber : int
}

class Page {
  - header : Header
  - body : Body
  - footer : Footer
}

class Document {
  - numberOfPages : int
}

class User {
  + open()
  + save()
  + print()
  + new()
}

class Body {
  - sentences : List(Sentence)
}

class Sentence {
  - words : List(Word)
  - punctuationList : List(Punctuation)
}

class Word {
  - letter : String
  - digits : String
  - special character : String
}

class Punctuation {
  - character : String
}

class Table {
  - rows : int
  - columns : int
}

class Cell {
  - text : String
  - picture : Picture
}

class Picture {
  - imageType : String
  - imageSize : String
}

' Associations
User ""1"" --> ""0..*"" Document


' Composition
Page ""1"" *-- ""0..1"" Header
Page ""1"" *-- ""0..1"" Footer
Page ""1"" *-- ""0..1"" Body
Document ""1"" *-- ""1..*"" Page
Table ""1"" *-- ""1..*"" Cell

' Aggregation
Body ""1"" o-- ""0..*"" Table
Body ""1"" o-- ""0..*"" Picture
Body ""1"" o-- ""0..*"" Sentence
Sentence ""0..*"" o-- ""0..*"" Word
Sentence ""0..*"" o-- ""0..*"" Punctuation


' Association
Cell ""1"" --> ""0..1"" Picture

@enduml",0,0,1,14,2,1,0,1,3,5,2,2,0,2,3,3,2,2,2,3,4,5,3,3,3,0,2,3,1,3,0,1,0,2
4,"Patient Record and Scheduling System
A patient record and scheduling system in a doctor’s office is used by the receptionists, nurses, and doctors. The receptionists use the system to enter new patient information when first-time patients visit the doctor. They also schedule all appointments. The nurses use the system to keep track of the results of each visit including diagnosis and medications. For each visit, free form text fields are used captures information on diagnosis and treatment. Multiple medications may be prescribed during each visit. The nurses can also access the information to print out a history of patient visits. The doctors primarily use the system to view patient history. The doctors may enter some patient treatment information and prescriptions occasionally, but most frequently they let the nurses enter this information. -- Each patient is assigned to a family. The head of family is responsible for the person with the primary medical coverage. Information about doctors is maintained since a family has a primary care physician, but different doctors may be the ones seeing the patient during the visit.","@startuml

class PatientRecordAndSchedulingSystem {
  enterPatientInformation()
  scheduleAppointment()
  trackVisitResults()
  printPatientHistory()
}

class Receptionist {
  useSystem()
}

class Nurse {
  useSystem()
  enterTreatmentInformation()
}

class Doctor {
  useSystem()
  enterPrescription()
}

class Patient {
  +familyHead: Person
  +primaryCarePhysician: Doctor
  +medicalCoverage: String
  +history: List<Visit>
}

class Visit {
  +diagnosis: String
  +treatment: String
  +medications: List<Medication>
}

class Medication {
  +name: String
  +dosage: String
}

class Person {
  +name: String
  +dateOfBirth: Date
}

Receptionist ""1"" -- ""1"" PatientRecordAndSchedulingSystem : uses >
Nurse ""1"" -- ""1"" PatientRecordAndSchedulingSystem : uses >
Doctor ""1"" -- ""1"" PatientRecordAndSchedulingSystem : uses >
Patient ""1"" -- ""*"" Visit : has >
Visit ""*"" -- ""*"" Medication : includes >

@enduml

","PlantUML:@startuml

' ==== Class Definitions ====
class Receptionist {
  + enterinfopatient()
  + scheduleappointment()
}

class Patient {
  - name : String
  - gender : String
  - birthdate : String
  - lastvisitdate : Date
  - allergies : String
  - notes : String
}

class Family {
  - nameofamilyhead : String
  - address : String
  - telephone : String
  - insurancecarrier : String
  - policynumber : String
}

class Appointment {
  - date : Date
  - time : Time
  - reason : String
}

class Doctor {
  - name : String
  - specialty : String
  - address : String
  - telephone : String
  + viewpatienthistory()
  + entertreatmentinformation()
  + prescribemedication()
  + seepatient()
}

class Visit {
  - date : Date
  - reason : String
  - diagnosisnotes : String
  - treatmentnotes : String
}

class Prescription {
  - date : Date
  - medication : String
  - dosage : String
}

class Nurse {
  - memberName : String
  + checkvisit()
  + prescribemedication()
  + printouthistory()
}

' ==== Associations with Correct Multiplicities ====

Receptionist ""1..*"" --> ""0..*"" Patient : Enter Info
Receptionist ""1"" --> ""0..*"" Appointment : Schedule

Patient ""1..*"" --> ""1"" Family
Patient ""1"" --> ""0..*"" Appointment
Patient ""1"" --> ""0..*"" Visit

Falily ""1"" --> ""1..*"" Patient
Doctor ""1"" --> ""0..*"" Visit

Visit ""1"" --> ""0..*"" Prescription
Visit ""0..1"" --> ""0..*"" Nurse : Keep Track

Appointment ""0..1"" --> ""0..*"" Visit

@enduml",0,1,0,5,1,1,2,1,5,5,2,3,0,1,2,3,0,2,2,4,4,5,3,3,6,2,2,2,3,3,2,2,1,4
5,"Movie-Shop
 Design a system for a movie-shop, in order to handle ordering of movies and browsing of the catalogue of the store, and user subscriptions with rechargeable cards.  Only subscribers are allowed hiring movies with their own card.  Credit is updated on the card during rent operations.  Both users and subscribers can buy a movie and their data are saved in the related order.  When a movie is not available it is ordered .","@startuml

class MovieShopSystem {
  browseCatalogue()
  orderMovie()
  handleSubscription()
  updateCreditOnCard()
}

class Movie {
  title: String
  available: Boolean
}

class User {
  name: String
  email: String
}

class Subscriber extends User {
  card: RechargeableCard
  hireMovie()
  buyMovie()
}

class RechargeableCard {
  cardNumber: String
  credit: Double
}

class Order {
  orderDate: Date
  movie: Movie
  user: User
}

MovieShopSystem ""1"" -- ""*"" Movie : manages >
MovieShopSystem ""1"" -- ""*"" Subscriber : manages >
MovieShopSystem ""1"" -- ""*"" Order : processes >
Subscriber ""1"" -- ""1"" RechargeableCard : owns >
Order ""*"" -- ""1"" Movie : includes >
Order ""*"" -- ""1"" User : placed by >

@enduml

","PlantUML:@startuml

' ==== Class Definitions ====
class User {
  - firstname : String
  - lastname : String
}

class Subscriber {
  - telephone : String
  - address : String
}

class Card {
  - credit : float
  - code : int
}

class MovieShop {
  + listMovies()
  + order()
  + subscribe()
}

class Order {
  - date : date
  - user : User
}

class Movie {
  - name : String
}

class MovieBuy {
  - state : {present, to order}
  - sellingprice : float
}

class MovieRent {
  - state : {in, out}
  - date : date
  - rentingprice : float
}

' ==== Generalizations ====
Subscriber --|> User
MovieRent --|> Movie
MovieBuy --|> Movie

' ==== Associations with Cardinalities ====


User ""0..*"" --> ""1"" MovieShop : uses

MovieShop ""1"" --> ""0..*"" Card

Subscriber ""1"" --> ""1"" Card : has

MovieShop ""1"" o-- ""0..*"" Movie : owns

MovieShop ""1"" --> ""0..*"" Order : make

Order ""0..*"" --> ""1..*"" MovieBuy : includes


User ""1"" --> ""1..*"" MovieBuy : buys

Subscriber ""0..*"" --> ""1..*"" MovieRent : hires

@enduml",1,0,0,6,0,0,0,0,3,5,1,2,0,1,1,3,0,1,2,3,4,4,2,3,4,2,1,1,3,4,0,1,0,2
6,"Flights
We want to model a system for management of flights and pilots. An airline operates flights. Each airline has an ID. Each flight has an ID a departure airport and an arrival airport: an airport as a unique identifier. Each flight has a pilot and a co-pilot, and it uses an aircraft of a certain type; a flight has also a departure time and an arrival time. An airline owns a set of aircrafts of different types. An aircraft can be in a working state or it can be under repair. In a particular moment an aircraft can be landed or airborne. A company has a set of pilots: each pilot has an experience level: 1 is minimum, 3 is maximum. A type of aeroplane may need a particular number of pilots, with a different role (e.g.: captain, co-pilot, navigator): there must be at least one captain and one co-pilot, and a captain must have a level 3.","@startuml

class Airline {
  +ID: String
  +aircrafts: List<Aircraft>
  +flights: List<Flight>
}

class Flight {
  +ID: String
  +departureAirport: Airport
  +arrivalAirport: Airport
  +pilot: Pilot
  +coPilot: Pilot
  +aircraft: Aircraft
  +departureTime: DateTime
  +arrivalTime: DateTime
}

class Aircraft {
  +type: String
  +workingState: Boolean
  +status: String
}

class Airport {
  +code: String
  +name: String
}

class Pilot {
  +experienceLevel: int
  +role: String
}

class Company {
  +pilots: List<Pilot>
}

Airline ""1"" -- ""*"" Flight : operates >
Airline ""1"" -- ""*"" Aircraft : owns >
Flight ""*"" -- ""1"" Airport : departs from >
Flight ""*"" -- ""1"" Airport : arrives at >
Flight ""1"" -- ""1"" Pilot : has >
Flight ""1"" -- ""1"" Pilot : has >
Company ""1"" -- ""*"" Pilot : employs >

@enduml

","PlantUML: @startuml

' === Class Definitions ===
class Airline {
  - id : String
}

class Aircraft {
  - id : String
  - workingstate : Boolean
  - landed : Boolean
  - type : TypeofAircraft
}

class TypeofAircraft {
  - name : String
  - captain : Pilot
  - co-pilot : Pilot
}

class Flight {
  - id : String
  - departureairport : Airport
  - arrivalairport : Airport
  - departuretime : Time
  - arrivaltime : Time
  - pilot : Pilot
  - copilot : Pilot
}

class Airport {
  - identifier : String
}

class Pilot {
  - name : int
  - experiencelevel : int
  - role : String
}

' === Associations ===

Airline ""1"" --> ""1..*"" Flight : offers
Airline ""1"" --> ""1..*"" Aircraft : owns

Flight ""1..*"" --> ""1"" Aircraft : uses

Aircraft ""1..*"" --> ""1"" TypeofAircraft

Flight ""1..*"" --> ""2..*"" Pilot

TypeofAircraft ""1"" --> ""2..*"" Pilot
Flight ""1..*"" --> ""2"" Airport


@enduml",0,0,7,5,3,3,2,1,4,5,2,2,1,0,4,4,4,4,3,5,5,5,3,4,4,4,2,2,3,4,2,3,0,1
7,"Bank System
A bank system contains data on customers (identified by name and address) and their accounts. Each account has a balance and there are 2 type of accounts: one for savings which offers an interest rate, the other for investments, used to buy stocks. Stocks are bought at a certain quantity for a certain price (ticker) and the bank applies commission on stock orders.","@startuml

class Customer {
    +String name
    +String address
}

class Account {
    +float balance
}

class SavingsAccount {
    +float interestRate
}

class InvestmentAccount {
}

class StockOrder {
    +String ticker
    +int quantity
    +float commission
}

Customer ""1"" -- ""*"" Account : has >
Account <|-- SavingsAccount : extends
Account <|-- InvestmentAccount : extends
InvestmentAccount ""1"" -- ""*"" StockOrder : places >

@enduml

","PlantUML: @startuml

' === Class Definitions ===
class Customer {
  - name : String
  - address : String
}

class Account {
  - balance : float
}

class Savings {
  - interestrate : float
}

class Investments {
}

class StockOrder {
  - commision : float
}

class Stock {
  - quantity : int
  - price : float
}

' === Generalizations ===
Savings --|> Account
Investments --|> Account

' === Associations with Cardinalities ===

Customer ""1"" --> ""0..*"" Account

Investments ""0..*"" --> ""0..*"" Stock
StockOrder ""1..*"" --> ""1"" Stock

@enduml",0,1,0,1,0,2,0,1,1,3,0,1,0,0,0,3,0,2,2,3,3,3,1,2,1,3,1,0,1,3,0,1,0,1
8,"Veterinary Clinic
The owner of a veterinary clinic wants to create a database to store information about all veterinary services performed. After some research he came up with the following requirements:
•	For each admitted animal, its name, breed (if any) and owner must be stored. Each animal should be given an unique numeric identifier.
•	For each owner, its name, address and phone number should be stored. An unique numeric identifier should also be generated for each one of them.
•	An animal might be owner-less. This happens frequently as the clinic often rescues abandoned dogs from the streets in order to treat them and get them new owners.
•	It should be possible to store information about a specific breed even if no animals of that breed have been treated at the clinic.
•	Each appointement always has a responsible physician. All appointements start at a certain date and time; and are attended by an animal (and of course its owner).
•	For each physician, his name, address and phone number should be stored. An unique numeric identifier should also be generated for each one of them.
•	In an appointement, several medical conditions might be detected. Each condition has a common name and a scientific name. No two conditions have the same scientific name.
•	It should be possible to store information about the most common conditions for each different breed in the database.","@startuml

class Animal {
    +int id
    +String name
    +Breed breed
    +Owner owner
}

class Owner {
    +int id
    +String name
    +String address
    +String phoneNumber
}

class Breed {
    +String name
    +String description
    +MedicalCondition commonConditions
}

class Appointment {
    +DateTime dateAndTime
    +Animal animal
    +Physician responsiblePhysician
}

class Physician {
    +int id
    +String name
    +String address
    +String phoneNumber
}

class MedicalCondition {
    +String commonName
    +String scientificName
}

Owner ""0..*"" -- ""0..*"" Animal : owns >
Animal ""1"" -- ""0..*"" Appointment : attends >
Physician ""1"" -- ""*"" Appointment : responsible >
Breed ""1"" -- ""0..*"" Animal : characterizes >
Breed ""0..*"" -- ""0..*"" MedicalCondition : hasCommonConditions >

@enduml
","PlantUML: @startuml

' === Class Definitions ===
class Owner {
  - name : String
  - address : String
  - phonenumber : String
  - id : int
}

class Animal {
  - name : String
  - id : int
}

class Physician {
  - name : String
  - address : String
  - phonenumber : String
  - id : int
}

class Appointment {
  - startdate : Date
  - starttime : Time
}

class Breed {
  - type : String
}

class MedicalCondition {
  - commonname : String
  - scientificname : String
}

' === Associations with Cardinalities ===

Owner ""1"" --> ""0..*"" Appointment
Owner ""0..1"" <-- ""1..*"" Animal

Animal ""1"" --> ""0..*"" Appointment

Appointment ""0..*"" --> ""0..*"" MedicalCondition
MedicalCondition ""0..*"" --> ""0..*"" Breed

Breed ""1"" --> ""0..*"" Animal


Appointment ""0..*"" --> ""1"" Physician

@enduml",0,1,1,2,1,2,0,0,3,2,2,1,0,0,3,2,3,0,3,3,4,4,2,2,4,3,1,2,3,2,1,0,0,0
9,"Auto Repair
An auto repair shop, that sells and mounts parts and accessories for all kinds of vehicles, wants a new information system to manage their clients, parts, accessories and assembly services:
•	There are several employees. Each one of them has an unique identifying number, a name and an address.
•	In this shop, assembly services, where parts and accessories are installed in a vehicle, are executed. For each one these services the following data must be stored: In which car the service was executed, how many kms had the car at the time, who was the responsible employee, which parts and accessories were fitted, how many work hours did it take and the admission and finish dates.
•	Parts and accessories are only sold together with an assembly service.
•	Each part/accessory only fits in some car models. Therefore, it is important to store that information.
•	Each part/accessory has a category (radio, tyre, …), a serial number and a price.
•	Each car has a license plate, a make, a model, a color and an owner. Each owner has a name, identifying number, address and a phone.
•	One person can own more than one car but one car only has one owner.","@startuml

class Employee {
    +int id
    +String name
    +String address
}

class AssemblyService {
    +DateTime admissionDate
    +DateTime finishDate
    +int workHours
    +Car car
    +Employee responsibleEmployee
    +Set<PartAccessory> partsAndAccessories
}

class PartAccessory {
    +String category
    +String serialNumber
    +float price
    +Set<CarModel> compatibleCarModels
}

class CarModel {
    +String make
    +String model
}

class Car {
    +String licensePlate
    +CarModel model
    +String color
    +Owner owner
    +int kilometers
}

class Owner {
    +int id
    +String name
    +String address
    +String phoneNumber
}

Employee ""1"" -- ""*"" AssemblyService : performs >
AssemblyService ""0..*"" -- ""1"" Car : involves >
PartAccessory ""0..*"" -- ""*"" AssemblyService : usedIn >
Car ""1"" -- ""*"" Owner : ownedBy >
CarModel ""0..*"" -- ""1"" PartAccessory : fitsIn >

@enduml

","PlantUML: @startuml

' === Class Definitions ===
class Employee {
  - id : int
  - name : String
  - address : String
}

class AssemblyService {
  - kmscar : int
  - workhours : String
  - admissiondate : Date
  - finishdate : Date
}

class PartAccessory {
  - category : String
  - serialnumber : int
  - price : float
}

class Car {
  - plate : String
  - make : String
  - model : String
  - color : String
}

class Owner {
  - name : String
  - id : int
  - address : String
  - phone : String
}

' === Associations with Cardinalities ===

Employee ""1"" --> ""0..*"" AssemblyService

AssemblyService ""1"" --> ""1..*"" PartAccessory

AssemblyService ""0..*"" --> ""1"" Car

Car ""0..*"" --> ""0..*"" PartAccessory

Car ""1..*"" --> ""1"" Owner

@enduml",0,1,1,6,4,3,3,0,4,3,3,1,0,0,3,1,3,1,2,2,4,4,2,3,3,2,2,2,4,3,3,0,1,0
10,"Restaurant
The owner of a small restaurant wants a new information system to store data for all meals consumed there and also to keep a record of ingredients kept in stock. After some research he reached the following requirements list:
•	Each ingredient has a name, a measuring unit (e.g. olive oil is measured in liters, while eggs are unit based) and a quantity in stock. There are no two ingredients with the same name.
•	Each dish is composed of several ingredients in a certain quantity. An ingredient can, of course, be used in different dishes.
•	A dish has an unique name and a numeric identifier.
•	There are several tables at the restaurant. Each one of them has an unique numeric identifier and a maximum ammount of people that can be seated there.
•	In each meal, several dishes are consumed at a certain table. The same dish can be eaten more than once in the same meal.
•	A meal takes place in a certain date and has a start and end time. Each meal has a responsible waiter.
•	A waiter has an unique numerical identifier, a name, an address and a phone number.
•	In some cases it is important to store information about the client that consumed the meal. A client has a tax identification number, a name and an address.","@startuml

class Ingredient {
    +String name
    +String measuringUnit
    +int quantityInStock
}

class Dish {
    +String name
    +int id
    +Map<Ingredient, int> ingredients
}

class Table {
    +int id
    +int maxCapacity
}

class Meal {
    +DateTime startDate
    +DateTime endDate
    +Table table
    +Waiter responsibleWaiter
    +Set<Dish> dishes
    +Client client
}

class Waiter {
    +int id
    +String name
    +String address
    +String phoneNumber
}

class Client {
    +String taxID
    +String name
    +String address
}

Dish ""0..*"" -- ""*"" Ingredient : contains >
Meal ""0..*"" -- ""1"" Table : takesPlaceAt >
Meal ""0..*"" -- ""1"" Waiter : servedBy >
Meal ""0..*"" -- ""0..1"" Client : consumedBy >
Meal -- ""*"" Dish : consistsOf >

@enduml

","PlantUML: @startuml

' === Class Definitions ===
class Ingredient {
  - name : String
  - measuringunits : String
  - quantity : float
}

class Dish {
  - name : String
  - id : int
}

class Meal {
  - date : Date
  - starttime : Time
  - endtime : Time
}

class Table {
  - id : int
  - nofpeople : int
}

class Client {
  - taxid : int
  - name : String
  - address : String
}

class Waiter {
  - id : int
  - name : String
  - address : String
  - phonenumber : String
}

' === Associations with Cardinalities ===

Dish ""0..*"" --> ""1..*"" Ingredient

Meal ""0..*"" --> ""1..*"" Dish
Meal ""0..*"" --> ""1"" Table
Meal ""0..*"" --> ""1"" Waiter
Meal ""0..*"" --> ""0..1"" Client

@enduml",0,2,1,1,1,2,2,0,3,2,1,1,1,0,2,2,3,1,2,3,4,4,2,3,2,2,2,1,3,2,2,1,1,0
