Unnamed: 0,PrjDesc,LLM,Human,SynHuman,SynLLM,SemHuman,SemLLM,PragHuman,PragLLM,synClaudeLLM,synClaudeHuman,semClaudeLLM,semClaudeHuman,pragClaudeLLM,pragClaudeHuman,synGPTLLM,synGPTHuman,semGPTLLM,semGPTHuman,pragGPTLLM,pragGPTHuman,synDeepSeekLLM,synDeepSeekHuman,semDeepSeekLLM,semDeepSeekHuman,pragDeepSeekLLM,pragDeepSeekHuman,SemLLMNM,SemHumanNM,PragLLMNM,PragHumanNM,synGenDeepSeekLLM,synGenDeepSeekHuman,synGenClaudeLLM,synGenClaudeHuman,synGenGPTLLM,synGenGPTHuman
11,"Deliveries
The owner of a small delivery company plans to have an information system that allows him to save data about his customers and deliveries. After some time studying the problem, he reached the following requirements:
•	Each customer has a VAT number, a name, a phone number and an address. There are no two clients with the same VAT number.
•	When a customer wants to send a package to another customer, he just has to login to the company website, select the customer he wants to send the package to, enter the package’s weight and if the delivery is normal or urgent. He then receives an unique identifier code that he writes on the package.
•	The package is then delivered by the customer at the delivery center of his choosing. A delivery center has a unique name and an address.
•	Each client has an associated delivery center. This delivery center is chosen by the company and it is normally the one closest to the customer’s house.
•	The package is them routed through an internal system until it reaches the delivery center of the recipient.
•	The package is then delivered by hand from that delivery center to the recipient by a courier.
•	Couriers have a single VAT number, a name and a phone number. Each courier works in a single delivery center.
•	A courier is assigned to a packet as soon as the packet is introduced in the system.","@startuml

class Customer {
    +String VATNumber
    +String name
    +String phoneNumber
    +String address
    +DeliveryCenter deliveryCenter
}

class Package {
    +String identifierCode
    +double weight
    +String deliveryType
    +Customer sender
    +Customer recipient
    +Courier courier
}

class DeliveryCenter {
    +String name
    +String address
    +Set<Customer> customers
    +Set<Courier> couriers
}

class Courier {
    +String VATNumber
    +String name
    +String phoneNumber
    +DeliveryCenter deliveryCenter
}

Customer ""1"" -- ""1"" DeliveryCenter : uses >
DeliveryCenter ""1"" -- ""*"" Customer : serves >
DeliveryCenter ""1"" -- ""*"" Courier : employs >
Package ""*"" -- ""1"" Customer : sentBy >
Package ""*"" -- ""1"" Customer : sentTo >
Package ""0..1"" -- ""1"" Courier : deliveredBy >

@enduml

","PlantUML: @startuml

' === Class Definitions ===
class Customer {
  - Vat : int
  - name : String
  - phone : String
  - address : String
  + login()
  + selectrecipient()
  + enterweight()
  + selectdelivery()
}

class Package {
  - id : int
  - weight : float
  - urgent : Boolean
}

class DeliveryCenter {
  - name : String
  - address : String
}

class Courier {
  - Vat : int
  - name : String
  - phone : String
}

' === Associations with Cardinalities ===

Customer ""2"" --> ""0..*"" Package
Customer ""0..*"" --> ""0..*"" Courier
Customer ""0..*"" --> ""1"" DeliveryCenter
Customer ""1"" --> ""1"" Customer

Package ""0..*"" --> ""2"" DeliveryCenter

DeliveryCenter ""1"" --> ""0..*"" Courier

Courier ""1"" --> ""0..*"" Package

@enduml",0,1,3,5,2,1,0,1,3,5,1,2,0,0,2,4,3,1,4,3,4,5,2,4,3,4,1,1,4,5,0,3,0,0
12,"Furniture
The known furniture factory Hi-Key-Ah, intends to implement an information system to store all data on the different types of furniture and components it produces:
•	The factory produces several lines of furniture, each with a different name and consisting of several pieces of furniture of different types (beds, tables, chairs, …).
•	All furniture pieces have a type, a single reference (eg CC6578) and a selling price.
•	The major competitive advantage of this innovative plant is the fact that each component produced can be used in more than one piece of furniture.
•	Each piece of furniture is thus composed of several components. The same component can be used more than once in the same piece.
•	Every type of component produced is assigned a unique numerical code, a manufacturing price and a type (screw, hinge, shelf …).
•	The furniture is then sold in various stores throughout the world. Each store has a different address and a fax number.
•	To make the manufacturing process more efficient, stores have to place orders everytime they need to replenish their stock. These orders must also be stored in the database.
•	Each order has a order number, a date, the store that placed the order as well as a list of all the ordered furniture and their quantities.","@startuml

class FurnitureLine {
    +String name
    +Set<FurniturePiece> furniturePieces
}

class FurniturePiece {
    +String type
    +String reference
    +float sellingPrice
    +Set<Component> components
}

class Component {
    +int numericalCode
    +float manufacturingPrice
    +String type
}

class Store {
    +String address
    +String faxNumber
    +Set<Order> orders
}

class Order {
    +int orderNumber
    +DateTime date
    +Store store
    +Map<FurniturePiece, int> orderedPieces
}

FurnitureLine ""1"" -- ""*"" FurniturePiece : consistsOf >
FurniturePiece ""*"" -- ""*"" Component : madeOf >
Store ""1"" -- ""*"" Order : places >
Order ""*"" -- ""*"" FurniturePiece : includes >

@enduml

","PlantUML: @startuml

' === Class Definitions ===
class Store {
  - address : String
  - Fax : int
}

class Order {
  - number : int
  - date : Date
}

class PieceOfFurniture {
  - type : String
  - reference : String
  - price : float
}

class FurnitureLine {
  - name : String
}

class Component {
  - numericalcode : int
  - price : float
}

class ComponentType {
  - name : String
}

' === Associations with Cardinalities ===

Store ""1"" --> ""0..*"" Order
Store ""0..*"" --> ""0..*"" PieceOfFurniture

Order ""0..*"" --> ""0..*"" PieceOfFurniture

FurnitureLine ""1"" --> ""0..*"" PieceOfFurniture

PieceOfFurniture ""0..*"" --> ""0..*"" Component
Component ""0..*"" --> ""1"" ComponentType

@enduml",0,1,1,1,0,1,1,0,3,3,1,1,0,0,2,3,2,2,3,3,3,5,2,3,2,2,1,0,2,4,1,1,0,0
13,"Factory
Create a database for a factory with the following requirements. Don’t forget to add unique identifiers for each one of the entities if needed.
•	A factory has several machines. Each one of them is operated by several workers.
•	A worker might work in more than one machine.
•	In this factory, several products of different types, are produced. Each different type of product is produced in a single machine. But, the same machine can produce more than one type of product.
•	Products from the same type are all produced from the same single material and have the same weigth.
•	Clients can issue purchase orders. Each order has a list of the desired products and their quantity.
•	For each worker, the following data should be stored in the database: name (first and last), birth date, address and a list of his skills.
•	For each machine, the following data should be stored: serial number, make, model and purchase date.
•	For each client, the followig data should be stored: name, address, phone number and name of the contact person (if any).
•	For each purchase order, the following date should be stored: order number, date it has been made, expected and actual delivery date.","@startuml

entity ""Machine"" as Machine {
    +serialNumber: String [PK]
    +make: String
    +model: String
    +purchaseDate: Date
}

entity ""Worker"" as Worker {
    +employeeID: String [PK]
    +name: String
    +birthDate: Date
    +address: String
    +skills: List<String>
}

entity ""ProductType"" as ProductType {
    +typeID: String [PK]
    +material: String
    +weight: Double
}

entity ""Product"" as Product {
    +productID: String [PK]
    +productTypeID: String [FK]
}

entity ""Client"" as Client {
    +clientID: String [PK]
    +name: String
    +address: String
    +phoneNumber: String
    +contactPerson: String
}

entity ""PurchaseOrder"" as PurchaseOrder {
    +orderNumber: String [PK]
    +dateMade: Date
    +expectedDeliveryDate: Date
    +actualDeliveryDate: Date
    +clientID: String [FK]
}

Machine ""1"" -- ""*"" Worker : operated by >
Worker ""1"" -- ""*"" Product : produces >
ProductType ""1"" -- ""*"" Product : defines >
Client ""1"" -- ""*"" PurchaseOrder : places >
PurchaseOrder ""*"" -- ""*"" Product : includes >

@enduml

","PlantUML: @startuml

' === Class Definitions ===
class Machine {
  - serialnumber : int
  - make : String
  - model : String
  - purchasedate : Date
}

class Worker {
  - firstname : String
  - lastname : String
  - birth_date : Date
  - address : String
}

class Skill {
  - name : String
}

class ProductType {
  - material : String
  - weight : float
}

class Product {
  - id : int
  - name : String
}

class Client {
  - name : String
  - address : String
  - phone : String
  - contact_person : String
}

class Order {
  - number : int
  - date : Date
  - expected_delivery_date : Date
  - actual_delivery_date : Date
}

' === Associations with Cardinalities ===

Machine ""0..*"" --> ""0..*"" Worker
Worker ""0..*"" --> ""0..*"" Skill

Machine ""1"" --> ""0..*"" ProductType
ProductType ""1"" --> ""0..*"" Product

Client ""1"" --> ""0..*"" Order
Order ""0..*"" --> ""0..*"" Product

@enduml",0,0,0,3,1,1,1,0,5,3,2,1,0,0,2,3,0,0,2,2,4,4,2,3,5,2,1,0,5,3,1,1,0,2
14,"Bycicle Rental
A bicycle renting company wants to create an information system that allows it to store the data regarding all their reservations and rentals. The system should follow these requirements:
•	It should be possible to store the national id number (NIN), tax identification number (TIN), name and address for every client. The NIN and TIN must be different for every client and all clients should have at least a TIN and a name.
•	The database should also contain information about the bicycle models that can be rented- Each model has an unique name, a type (that can only be road, mountain, bmx or hybrid) and the number of gears.
•	Each bicycle has a unique identifying number and a model.
•	The company has several different stores where bicycles can be picked up and returned. Each one of these stores is identified by an unique name and has an address (both mandatory).
•	When a reservation is made, the following data must be known: which client did the reservation, when will he pick up the bike (day), which bike model he wants and where will he pick up the bike (store).
•	When a bike is picked up, the actual bike that was picked up must be stored in the database.
•	When a bike is returned, the return date should be stored in the database.","@startuml

entity ""Client"" as Client {
    +NIN: String [PK]
    +TIN: String [UK]
    +name: String
    +address: String
}

entity ""BicycleModel"" as BicycleModel {
    +modelName: String [PK]
    +type: String
    +numberOfGears: int
}

entity ""Bicycle"" as Bicycle {
    +bicycleID: String [PK]
    +modelName: String [FK]
}

entity ""Store"" as Store {
    +storeName: String [PK]
    +address: String
}

entity ""Reservation"" as Reservation {
    +reservationID: String [PK]
    +clientNIN: String [FK]
    +modelName: String [FK]
    +pickupDate: Date
    +storeName: String [FK]
}

entity ""Rental"" as Rental {
    +rentalID: String [PK]
    +bicycleID: String [FK]
    +pickupDate: Date
    +returnDate: Date
}

Client ""1"" -- ""*"" Reservation : makes >
Reservation ""*"" -- ""1"" BicycleModel : requests >
Reservation ""1"" -- ""1"" Store : pickupAt >
Bicycle ""1"" -- ""1"" BicycleModel : ofType >
Rental ""*"" -- ""1"" Bicycle : uses >

@enduml

","PlantUML: @startuml

' === Class Definitions ===
class Client {
  - NIN : String
  - TIN : String
  - name : String
  - address : String
  + reserveabike()
}

class Reservation {
  - pickup_day : Date
  - return_date : Date
}

class Store {
  - name : String
  - address : String
}

class Bycicle {
  - id : String
}

class BycicleModel {
  - name : String
  - nofgears : int
}

class Type {
  - name : String
}

class Road {}
class Mountain {}
class BMX {}
class Hybrid {}

' === Generalizations ===
Road --|> Type
Mountain --|> Type
BMX --|> Type
Hybrid --|> Type

' === Associations with Cardinalities ===

Client ""1"" --> ""0..*"" Reservation
Reservation ""0..*"" --> ""1"" Store
Reservation ""0..*"" --> ""1"" Bycicle

Bycicle ""0..*"" --> ""1"" BycicleModel
BycicleModel ""1"" --> ""0..*"" Reservation

BycicleModel ""0..*"" --> ""1"" Type

Store ""1"" --> ""0..*"" Bycicle

@enduml",0,0,1,6,1,1,1,0,2,4,1,2,0,0,2,3,0,2,3,3,2,5,1,3,2,1,2,1,2,4,1,2,0,2
15,"Saturn Int. Management
Saturn Int. management wants to improve their security measures, both for their building and on site. They would like to prevent people who are not part of the company to use their car park.
Saturn Int. has decided to issue identity cards to all employees. Each card records the name, department and number of a company staff, and give them access to the company car park. Employees are asked to wear the cards while on the site.
There is a barrier and a card reader placed at the entrance to the car park. When a driver drives his car into the car park, he/she inserts his or her identity card into the card reader. The card reader then verify the card number to see if it is known to the system. If the number is recognized, the reader sends a signal to trigger the barrier to rise. The driver can then drive his/her car into the car park.
There is another barrier at the exit of the car park, which is automatically raised when a car wishes to leave the car park.
A sign at the entrance display “Full” when there are no spaces in the car park. It is only switched off when a car leaves.
There is another type of card for guests, which also permits access to the car park. The card records a number and the current date. Such cards may be sent out in advance, or collected from reception. All guest cards must be returned to reception when the visitor leaves Saturn Int.","@startuml

class EmployeeCard {
    +String cardNumber
    +String employeeName
    +String department
}

class GuestCard {
    +String cardNumber
    +Date issueDate
}

class CardReader {
    +Boolean verifyCard(String cardNumber)
}

class Barrier {
    +void rise()
    +void lower()
}

class ParkingSpace {
    +Boolean isFull()
    +void updateSign()
}

class Reception {
    +GuestCard issueGuestCard()
    +void collectGuestCard(GuestCard card)
}

EmployeeCard ""1"" -- ""*"" CardReader : verifiedBy >
GuestCard ""1"" -- ""*"" CardReader : verifiedBy >
CardReader ""1"" -- ""1"" Barrier : controls >
ParkingSpace ""1"" -- ""1"" Barrier : monitoredBy >
Reception ""1"" -- ""*"" GuestCard : issues >

@enduml

","""PlantUML:@startuml

' === Class Definitions ===

class Barrier {
  + rise()
}

class CarPark {
  - numberofspaces : int
  - numberfreespaces : int
  + carisleaving()
}

class Sign {
  - isfull : Boolean
  + switch()
}

class CardReader {
  + insertcard()
  + verifycardnumber()
  + showsuccessmessage()
  + showfailmessage()
  + sendsignal()
  + ejectcard()
}

class Card {
  - number : int
}

class IdentityCard {
  - name : String
  - department : String
  + issue()
}

class GuestCard {
  - currentdate : Date
  + sent()
  + collected()
  + return()
}

class Reception {
  + givecard()
  + takecard()
}

' === Generalizations ===
IdentityCard --|> Card
GuestCard --|> Card

' === Associations ===

CarPark """"1"""" *-- """"2"""" Barrier
CarPark """"1"""" *-- """"1"""" Sign
CarPark  *--  CardReader

CardReader --> Card
CardReader -->Barrier
Reception """"1"""" --> """"0..*"""" GuestCard

@enduml""",4,1,5,7,0,2,0,2,4,4,1,1,0,2,2,2,0,0,1,3,4,3,2,2,3,4,2,0,4,5,0,3,0,2
16,"OOBank
This system provides the basic services to manage bank accounts at a bank called OOBank. OOBank has many branches, each of which has an address and branch number. A client opens accounts at a branch. Each account is uniquely identified by an account number; it has a balance and a credit or overdraft limit. There are many types of accounts, including: a mortgage account (which has a property as collateral), a checking account, and a credit card account (which has an expiry date and can have secondary cards attached to it). It is possible to have a joint account (e.g. for a husband and wife). Each type of account has a particular interest rate, a monthly fee and a specific set of privileges (e.g. ability to write checks, insurance for purchases etc.). OOBank is divided into divisions and subdivisions (such as Planning, Investments and Consumer); the branches are considered subdivisions of the Consumer Division. Each division has a manager and a set of other employees. Each customer is assigned a particular employee as his or her ‘personal banker’.","@startuml

class OOBank {
}

class Branch {
    +String branchNumber
    +String address
}

class Account {
    +String accountNumber
    +Double balance
    +Double creditLimit
}

class MortgageAccount {
    +Property collateral
}

class CheckingAccount {
    +Set<Privilege> privileges
}

class CreditCardAccount {
    +Date expiryDate
    +List<CreditCard> secondaryCards
}

class JointAccount {
}

class Division {
    +String name
    +Manager manager
    +Set<Employee> employees
}

class PersonalBanker extends Employee {
}

class Client {
    +String name
    +PersonalBanker personalBanker
}

class Employee {
    +String employeeID
    +String name
}

OOBank ""1"" -- ""*"" Branch : has >
Branch ""1"" -- ""*"" Account : holds >
Account <|-- MortgageAccount : is a type of
Account <|-- CheckingAccount : is a type of
Account <|-- CreditCardAccount : is a type of
Account <|-- JointAccount : is a type of
OOBank ""1"" -- ""*"" Division : includes >
Division ""1"" -- ""*"" Branch : contains >
Client ""1"" -- ""1"" PersonalBanker : has >

@enduml

","PlantUML: @startuml

' === Class Definitions ===

class Branch {
  - address : String
  - number : int
}

class Subdivision {
  - name : String
}

class Division {
  - name : String
}

class Manager {
}

class Employee {
  - name : String
  - role : String
}

class Client {
  - name : String
  + openaccount()
  + closeaccount()
}

class Account {
  - number : int
  - balance : float
  - creditlimit : float
}

class AccountType {
  - interestrate : float
  - monthlyfee : float
  - checksallowed : Boolean
  - insuranceAvailable : Boolean
}

class CreditCard {
  - name : String
  - number : int
}

class CreditCardAccount {
  - expirydate : Date
}

class CheckingAccount {
}

class MortgageAccount {
  - collateralProperty : String
}

class JointAccount {
  - secondclient : Client
}

' === Generalization ===
CreditCardAccount --|> Account
CheckingAccount --|> Account
MortgageAccount --|> Account
JointAccount --|> Account
Manager --|> Employee

' === Associations & Compositions ===

Branch --|> Subdivision
Division *-- Subdivision : contains
Division o-- Manager : Manage
Division ""1"" o-- ""1..*"" Employee : Works For

Employee ""1"" --> ""0..*"" Client : Personal Banker

Client ""1"" *-- ""0..*"" Account
Client ""2"" *-- ""0..*"" JointAccount
Client --> Branch

Account ""0..*"" --> ""1"" AccountType

CreditCardAccount ""1"" --> ""1..*"" CreditCard

@enduml",2,2,2,8,2,3,2,2,5,4,2,3,0,2,2,3,1,2,1,5,6,5,3,3,6,4,3,1,4,5,1,3,0,2
17,"Prepaid Cell Phone
The contract of a prepaid cell phone should be modelled and implemented. A basic contract has a contract number (of type int) and a balance (of type double), but no monthly charges. The contract number is not automatically generated, but is to be set as a parameter by the constructor as well as the initial balance. The balance has a getter and a setter. The following options can be added to a contract (if needed also several times):
•	100 MB of data (monthly charge 1.00€)
•	50 SMS (monthly charge 0.50€)
•	50 minutes (monthly charge 1.50€)
•	Double Transfer Rate (monthly charge 2.00€) implement this requirement with the help of the decorator pattern. All contract elements should be able to understand the methods getCharges():double, getBalance():double and setBalance(double).
The method getCharges() should provide the monthly charge of a contract with all its options selected. The methods getBalance() and setBalance() should be passed through and access the basic contract.","@startuml

interface ContractComponent {
    +getCharges() : double
    +getBalance() : double
    +setBalance(balance : double) : void
}

class BasicContract {
    -contractNumber : int
    -balance : double
    +getCharges() : double
    +getBalance() : double
    +setBalance(balance : double) : void
}

abstract class ContractDecorator {
    -decoratedContract : ContractComponent
    +getCharges() : double
    +getBalance() : double
    +setBalance(balance : double) : void
}

class DataOption {
    +getCharges() : double
}

class SMSOption {
    +getCharges() : double
}

class MinutesOption {
    +getCharges() : double
}

class DoubleTransferRateOption {
    +getCharges() : double
}

class Client {
    -contract : ContractComponent
}

ContractComponent <|.. BasicContract
ContractComponent <|.. ContractDecorator
ContractDecorator <|-- DataOption
ContractDecorator <|-- SMSOption
ContractDecorator <|-- MinutesOption
ContractDecorator <|-- DoubleTransferRateOption
Client -right-> ContractComponent : holds

@enduml

","PlantUML: @startuml

' === Class Definitions ===

class Client {
  - name : String
  - phone : String
}

class Contract {
  + getCharges() : float
  + getBalance() : float
  + setBalance(float)
}

class Basic_Contract {
  - number : int
  - balance : float
}

class Option {
  - monthly_charge : float
}

class Data {
  - MB : int
}

class SMS {
  - quantity : int
}

class Minute {
  - quantity : int
}

class Double_Transfer {
}

' === Generalizations ===

SMS --|> Option
Minute --|> Option
Double_Transfer --|> Option
Data --|> Option

' === Associations ===

Client ""1"" --> ""1"" Contract
Basic_Contract ""1"" <-- ""0..*"" Contract
Contract ""0..*"" --> ""0..*"" Option

@enduml",0,0,2,0,1,2,1,1,3,4,1,2,1,0,2,3,1,2,1,2,4,3,2,3,1,2,1,1,3,3,1,3,1,0
18,"Library System
The exercise id to design a class structure for a library system. It should fulfil those requirements:
•	There are two type of users – under-aged and adults.
•	Under-aged users are identified with usage of their full name and student card.
•	Adult users are identified with usage of their full name and ID card.
•	The library contains books.
•	There is basic information about every book (title, author, etc).
•	The user can borrow at most 4 books at the same time.
•	There is a history of previously borrowed books for every user (along with all the dates).","@startuml

abstract class User {
    +fullName: String
    +borrowedBooks: List<BorrowedBook>
    +borrowBook(book: Book): boolean
    +returnBook(book: Book): void
    +getBorrowHistory(): List<BorrowedBook>
}

class UnderagedUser {
    +studentCard: String
}

class AdultUser {
    +idCard: String
}

class Book {
    +title: String
    +author: String
    +available: boolean
}

class BorrowedBook {
    +book: Book
    +borrowDate: Date
    +returnDate: Date
}

User <|-- UnderagedUser
User <|-- AdultUser
User ""1"" -- ""*"" BorrowedBook : ""has history of""

@enduml

","PlantUML: @startuml

' === Class Definitions ===

class User {
  - firstname : String
  - lastname : String
  + borrow()
  + return()
}

class Adult {
  - idcard : int
}

class UnderAged {
  - studentcard : int
}

class Book {
  - title : String
  - author : String
}

class History {
  - Books : List<Book>
  - date : List<date>
}

class Library {
  - Books : List<Book>
}

class User

' === Generalizations ===
Adult --|> User
UnderAged --|> User

' === Associations & Compositions ===

User ""1"" *-- ""1"" History
User ""1"" --> ""0..4"" Book

History""0..*"" o-- ""0..*"" Book

Library""1"" o-- ""0..*"" Book

@enduml",0,2,3,5,1,1,0,3,2,3,0,2,0,1,2,3,1,3,1,5,3,3,2,3,2,3,3,0,2,4,0,3,0,2
19,"MyDoctor
The MyDoctor application aims to be a management tool for the appointments of a doctor.
A hospital has multiple offices.
The users of the application can be doctors and patients.
The doctors can apply to practice in offices and create a schedule for an office. The schedules in different offices can’t overlay.
Example:
Doctor Ana is available in Office 4 on the 4th of September during 1 PM - 5PM.
Doctor Ana can’t practice in Office 5 on the 4th of September during 3PM - 8 PM, but she can practice in Office 5 on the 4th of September during 5:30PM - 8 PM.
The patients can see the existing doctors in the system, the schedule of the offices and can book appointments for specific doctors and for specific schedules. The appointments can be of 3 types:
•	Blood Test - 15 mins
•	Consultation - 30 mins
•	Surgery - 60 mins
The booking of an appointment will not be possible if another appointment is already booked at the same time frame. An email is sent to the patient with the confirmation of the appointment.
Example:
Action 1: User Mike will create a blood test booking for Doctor Ana for the 4th of September starting with 15:30 PM → Possible
Action 2: User Mike will create an intervention booking for Doctor Ana for the 4th of September starting with 15:00 PM → Not Possible
Action 3: User Mike will create an intervention booking for Doctor Ana for the 4th of September starting with 16:00 PM → Possible","@startuml

class Doctor {
    - name: String
}

class Office {
    - officeNumber: Integer
}

class Schedule {
    - date: Date
    - startTime: Time
    - endTime: Time
}

class Appointment {
    - type: AppointmentType
    - startTime: Time
    - endTime: Time
}

class Patient {
    - name: String
    - email: String
}

Doctor ""1"" -- ""1..*"" Schedule : creates >
Schedule ""1"" -- ""1"" Office : associated >
Appointment ""1"" -- ""1"" Patient : books >
Doctor ""1"" -- ""*"" Appointment : performs >
Office ""1"" -- ""*"" Appointment : hosts >

enum AppointmentType {
    BLOOD_TEST
    CONSULTATION
    SURGERY
}

@enduml



","PlantUML: @startuml

' === Class Definitions ===

class User {
  - id : int
  - FirstName : String
  - LastName : String
  + login()
  + logout()
}

class Doctor {
  - Field : String
  + Apply()
  + CreateSchedule()
  + CheckOfficeAvailability(startDate : Date, endDate : date)
}

class Patient {
  - Age : int
  - Address : String
  + SeeExistingDoctors()
  + SeeSchedules()
  + CreateAppointment()
}

class Office {
  - id : int
  - Name : String
}

class Schedule {
  - id : int
  - StartDate : Date
  - EndDate : Date
}

class Appointment {
  - id : int
  - Duration : int
  - StartDate : Date
  - EndDate : Date
  + SendEmail()
}

class BloodTest {}
class Consultation {}
class Surgery {}

' === Generalizations ===

Doctor --|> User
Patient --|> User

BloodTest --|> Appointment
Consultation --|> Appointment
Surgery --|> Appointment

' === Associations ===

Doctor ""0..*"" --> ""0..*"" Patient
Doctor ""1"" *-- ""0..*"" Schedule
Schedule ""1"" *-- ""0..*"" Appointment
Patient ""1"" --> ""0..*"" Appointment

Doctor ""0..*"" --> ""0..*"" Office
Schedule ""0..*"" o-- ""1"" Office

@enduml",0,1,3,4,0,3,1,1,3,4,1,2,0,0,2,2,0,2,3,5,3,4,2,3,3,3,0,0,3,5,1,1,0,0
20,"Online Shopping
Each customer has unique id and is linked to exactly one account. Account owns shopping cart and orders. Customer could register as a web user to be able to buy items online. Customer is not required to be a web user because purchases could also be made by phone or by ordering from catalogues. Web user has login name which also serves as unique id. Web user could be in several states - new, active, temporary blocked, or banned, and be linked to a shopping cart. Shopping cart belongs to account. 
Account owns customer orders. Customer may have no orders. Customer orders are sorted and unique. Each order could refer to several payments, possibly none. Every payment has unique id and is related to exactly one account.
Each order has current order status. Both order and shopping cart have line items linked to a specific product. Each line item is related to exactly one product. A product could be associated to many line items or no item at all.","@startuml

class Customer {
    - customerId: String
}

class WebUser {
    - username: String
    - state: WebUserState
}

class Account {
    - accountId: String
}

class ShoppingCart {
    - cartId: String
}

class Product {
    - productId: String
}

class Order {
    - orderId: String
    - orderStatus: OrderStatus
}

class Payment {
    - paymentId: String
}

class LineItem {
    - quantity: int
}

enum WebUserState {
    NEW
    ACTIVE
    TEMP_BLOCKED
    BANNED
}

enum OrderStatus {
    NEW
    PENDING
    SHIPPED
    DELIVERED
}

Customer ""1"" -- ""1"" Account : has >
Account ""1"" -- ""*"" Order : has >
Account ""1"" -- ""*"" Payment : has >
Account ""1"" -- ""1"" ShoppingCart : has >
WebUser -up-|> Customer : extends >
ShoppingCart ""*"" -- ""*"" LineItem : contains >
Order ""*"" -- ""*"" LineItem : contains >
Product ""*"" -- ""*"" LineItem : associated >
Payment ""1"" -- ""1"" Account : associated >

@enduml

","PlantUML: @startuml

' === Class Variables ===
class Order_Status <<class_variables>> {
  STATUS = {""new"", ""hold"", ""shipped"", ""delivered"", ""closed""}
}

class User_state <<class_variables>> {
  STATE = {""new"", ""active"", ""temporary blocked"", ""banned""}
}

' === Main Classes ===
class Customer {
  - id : String
  - phone : String
  - email : String
  - address : String
}

class Account {
  - id : String
}

class Web_User {
  - loginname : String
  - state : String
}

class Order {
  - id : String
  - status : String
}

class Payment {
  - id : String
  - amount : float
}

class Shopping_Cart {
}

class Product {
  - id : String
  - name : String
}

class Line_Item {
  - price : float
  - quantity : int
}

' === Relationships ===
User_state --|> Web_User

Order_Status --|> Order

Account ""1"" *-- ""1"" Shopping_Cart
Account ""1"" *-- ""0..*"" Order
Account ""1"" --> ""0..*"" Payment

Customer ""1"" --> ""0..1"" Web_User


Order ""1"" --> ""0..*"" Payment
Customer ""1"" *-- ""1"" Account


Shopping_Cart ""1"" --> ""0..*"" Line_Item
Shopping_Cart ""0..1"" --> ""1"" Web_User

Line_Item ""0..*"" --> ""1"" Product

Order ""1"" --> ""0..*"" Line_Item

@enduml",0,2,2,6,0,2,2,2,5,4,2,3,0,0,3,3,2,2,2,2,4,5,2,3,6,2,0,0,3,5,2,3,0,6
